BirdtreeFormat,Family,Final.polygyny,Final.EPP,Syllable.rep.min,Syllable.rep.final,Syllable.rep.max,Syll.song.min,Syll.song.final,Syll.song.max,Song.rep.min,Song.rep.final,Song.rep.max,Duration.min,Duration.final,Duration.max,Interval.min,Interval.final,Interval.max,Song.rate.min,Song.rate,Song.rate.max,Continuity.min,Continuity,Continuity.max
Catharus_guttatus,Turdidae,NA,NA,NA,NA,NA,4,4,4,13,13,13,1.59,1.59,1.59,3.71,5.345,6.98,11.32075472,8.651766402,7.001166861,0.3,0.22927181,0.185530922
Catharus_minimus,Turdidae,0,NA,NA,NA,NA,NA,NA,NA,3,3,3,2.14,2.14,2.14,6.43,6.43,6.43,7.001166861,7.001166861,7.001166861,0.249708285,0.249708285,0.249708285
Catharus_ustulatus,Turdidae,NA,NA,NA,NA,NA,6,6,6,5,5,5,2,2,2,5,5,5,8.571428571,8.571428571,8.571428571,0.285714286,0.285714286,0.285714286
Catherpes_mexicanus,Troglodytidae,0,NA,NA,NA,NA,3,3,3,3,3,3,4.6,4.6,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalopyrus_flammiceps,unknown,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercomacra_tyrannina,Thamnophilidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Certhia_brachydactyla,Certhiidae,NA,NA,NA,NA,NA,NA,NA,NA,1,1.5,2,1.3,1.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Certhia_familiaris,Certhiidae,0,NA,5,5,5,5,5,5,1,1,1,1.2,2.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Certhilauda_albescens,Alaudidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,1.25,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
Certhilauda_barlowi,Alaudidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,1.75,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Certhilauda_burra,Alaudidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,1.25,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
Certhilauda_chuana,Alaudidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Certhilauda_erythrochlamys,Alaudidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,2.25,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
Certhilauda_subcoronata,Alaudidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cettia_cetti,Scotocercidae,0,NA,NA,NA,NA,4,4,4,NA,NA,NA,2,2,2,17.5,17.5,17.5,3.076923077,3.076923077,3.076923077,0.102564103,0.102564103,0.102564103
Cettia_fortipes,Scotocercidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaetops_aurantius,Chaetopidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaetops_frenatus,Chaetopidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamaea_fasciata,Paradoxornithidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chasiempis_sandwichensis,Monarchidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlamydera_cerviniventris,Ptilonorhynchidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlamydera_guttata,Ptilonorhynchidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlamydera_lauterbachi,Ptilonorhynchidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlamydera_maculata,Ptilonorhynchidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlamydera_nuchalis,Ptilonorhynchidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorocichla_flaviventris,Pycnonotidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chloropeta_natalensis,Acrocephalidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chondestes_grammacus,Passerellidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrysomus_icterocephalus,Icteridae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cicinnurus_magnificus,Paradisaeidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinclodes_albidiventris,Furnariidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinclodes_albiventris,Furnariidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinclodes_antarcticus,Furnariidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinclodes_comechingonus,Furnariidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinclodes_fuscus,Furnariidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cincloramphus_cruralis,Locustellidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinclus_cinclus,Cinclidae,1,NA,NA,NA,NA,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinclus_mexicanus,Cinclidae,0,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinclus_pallasii,Cinclidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinclus_schulzi,Cinclidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinnyricinclus_leucogaster,Sturnidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cisticola_anonymus,Cisticolidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,1.25,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cisticola_ayresii,Cisticolidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cisticola_brunnescens,Cisticolidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cisticola_cinereolus,Cisticolidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,1.75,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cisticola_exilis,Cisticolidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA
Cisticola_juncidis,Cisticolidae,1,NA,NA,NA,NA,2,2,2,1,1,1,0.8,1,1.2,1.6,1.6,1.6,25,23.07692308,21.42857143,0.333333333,0.384615385,0.428571429
Cisticola_robustus,Cisticolidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,0.75,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cisticola_tinniens,Cisticolidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.9,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cistothorus_meridae,Troglodytidae,NA,NA,NA,NA,NA,NA,NA,NA,22.5,22.5,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cistothorus_palustris,Troglodytidae,1,NA,NA,NA,NA,3,3,3,54,106.5,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cistothorus_platensis,Troglodytidae,1,NA,NA,NA,NA,66,66,66,110,110,110,1.5,1.5,1.5,2.1,2.1,2.1,16.66666667,16.66666667,16.66666667,0.416666667,0.416666667,0.416666667
Clypicterus_oseryi,Icteridae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coccothraustes_coccothraustes,Fringillidae,0,NA,NA,NA,NA,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conopophaga_lineata,Conopophaga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2.75,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Contopus_sordidulus,Tyrannidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coracina_azurea,Campephagidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coracina_cinerea,Campephagidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corvus_brachyrhynchos,Corvidae,0,1,NA,NA,NA,NA,NA,NA,17,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corvus_corone,Corvidae,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corvus_monedula,Corvidae,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corvus_rhipidurus,Corvidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cosmopsarus_regius,Sturnidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cosmopsarus_unicolor,Sturnidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cranioleuca_erythrops,Furnariidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Creatophora_cinerea,Sturnidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
Criniger_calurus,Pycnonotidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Culicicapa_ceylonensis,Stenostiridae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curaeus_curaeus,Icteridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyanocitta_cristata,Corvidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyclarhis_gujanensis,Vireonidae,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delichon_urbicum,Hirundinidae,0,1,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendroica_adelaidae,Parulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendroica_caerulescens,Parulidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendroica_castanea,Parulidae,NA,NA,NA,NA,NA,2,2,2,2,2,2,1,0.98,1,5,5,5,10,10.03344482,10,0.166666667,0.163879599,0.166666667
Dendroica_cerulea,Parulidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendroica_coronata,Parulidae,NA,NA,NA,NA,NA,1.9,1.9,1.9,2,2,2,1.49,1.495,1.5,11.1,11.105,11.11,4.765687053,4.761904762,4.758128469,0.118347895,0.118650794,0.118953212
Dendroica_discolor,Parulidae,1,NA,NA,NA,NA,6,6,6,3,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendroica_dominica,Parulidae,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendroica_fusca,Parulidae,0,NA,NA,NA,NA,3.2,3.2,3.2,2,2,2,1.49,1.495,1.5,4.35,4.375,4.4,10.2739726,10.22146508,10.16949153,0.255136986,0.254684838,0.254237288
Dendroica_magnolia,Parulidae,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,0.94,NA,8.33,8.33,8.33,6.472491909,6.472491909,6.472491909,0.101402373,0.101402373,0.101402373
Dendroica_nigrescens,Parulidae,NA,NA,NA,NA,NA,4,4,4,2,2,2,1.4,1.4,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendroica_palmarum,Parulidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendroica_pensylvanica,Parulidae,NA,1,5.4,10.75,16.1,3.5,3.5,3.5,5,5,5,1.27,1.285,1.3,7.1,7.12,7.14,7.168458781,7.138607971,7.109004739,0.151732378,0.152885187,0.154028436
Dendroica_petechia,Parulidae,0,1,8.3,8.3,8.3,3.7,3.7,3.7,4,12,13,1.26,1.28,1.3,7.1,7.12,7.14,7.177033493,7.142857143,7.109004739,0.150717703,0.152380952,0.154028436
Dendroica_striata,Parulidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendroica_tigrina,Parulidae,NA,NA,NA,NA,NA,1.2,1.2,1.2,3,3,3,1,1.01,1.02,5.88,5.89,5.9,8.720930233,8.695652174,8.670520231,0.145348837,0.146376812,0.147398844
Dendroica_townsendi,Parulidae,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,1.4,1.4,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendroica_virens,Parulidae,0,NA,NA,NA,NA,2.4,2.4,2.4,2,2,2,1.5,1.51,1.52,8.3,8.315,8.33,6.12244898,6.106870229,6.091370558,0.153061224,0.153689567,0.154314721
Dendronanthus_indicus,Motacillidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicrurus_adsimilis,Dicruridae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicrurus_forficatus,Dicruridae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicrurus_ludwigii,Dicruridae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dinemellia_dinemelli,Ploceidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dioptrornis_fischeri,Muscicapidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dives_dives,Icteridae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dolichonyx_oryzivorus,Icteridae,1,1,NA,NA,NA,9,9.5,10,10,10,10,3.5,4.625,5.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drymodes_brunneopygia,Petroicidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dryoscopus_cubla,Malaconotidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dumetella_carolinensis,Mimidae,0,NA,328,328,328,100,500,1000,100,500,1000,0.27,0.27,0.27,0.19,0.19,0.19,130.4347826,130.4347826,130.4347826,0.586956522,0.586956522,0.586956522
Elaenia_chiriquensis,Tyrannidae,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elminia_albicauda,Stenostiridae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elminia_albiventris,Stenostiridae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elminia_albonotata,Stenostiridae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elminia_nigromitrata,Stenostiridae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emberiza_cabanisi,Emberizidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emberiza_capensis,Emberizidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emberiza_cia,Emberizidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,1.5,6,6,6,8,8,8,0.2,0.2,0.2
Emberiza_cioides,Emberizidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emberiza_cirlus,Emberizidae,0,NA,NA,NA,NA,2,2,2,3,3.25,3.5,0.43,0.43,0.43,0.32,0.32,0.32,80,80,80,0.573333333,0.573333333,0.573333333
Emberiza_citrinella,Emberizidae,0,1,4.1,4.5,5,3,3,3,2.05,2.24,2.5,2.1,2.1,2.1,7.01,7.01,7.01,6.586169045,6.586169045,6.586169045,0.230515917,0.230515917,0.230515917
Emberiza_elegans,Emberizidae,NA,NA,109,109,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emberiza_flaviventris,Emberizidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emberiza_hortulana,Emberizidae,0,NA,4.2,4.2,4.2,2,2.5,3,2.5,2.75,3,1.5,1.5,1.5,9,9,9,5.714285714,5.714285714,5.714285714,0.142857143,0.142857143,0.142857143
Emberiza_impetuani,Emberizidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emberiza_schoeniclus,Emberizidae,0,1,6.3,18.15,30,3,3,3,15,17.5,20,1.98,1.98,1.98,4.02,4.02,4.02,10,10,10,0.33,0.33,0.33
Emberiza_striolata,Emberizidae,0,NA,NA,NA,NA,2.5,2.5,2.5,NA,NA,NA,1.75,1.75,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emberiza_tahapisi,Emberizidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Empidonax_alnorum,Tyrannidae,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Empidonax_difficilis,Tyrannidae,NA,NA,NA,NA,NA,3,3,3,3,3,3,2,2,2,7,7,7,6.666666667,6.666666667,6.666666667,0.222222222,0.222222222,0.222222222
Empidonax_flaviventris,Tyrannidae,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Empidonax_minimus,Tyrannidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Empidonax_traillii,Tyrannidae,1,1,NA,NA,NA,2,2,2,3,3,3,0.96,0.96,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
Empidonax_virescens,Tyrannidae,0,1,NA,NA,NA,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Empidornis_semipartitus,Muscicapidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eopsaltria_australis,Petroicidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epimachus_albertisi,Paradisaeidae,1,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epimachus_fastuosus,Paradisaeidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epimachus_meyeri,Paradisaeidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eremalauda_starki,Alaudidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eremomela_icteropygialis,Cisticolidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eremophila_alpestris,Alaudidae,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eremopsaltria_mongolicus,Fringillidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eremopterix_australis,Alaudidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eremopterix_leucopareia,Alaudidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eremopterix_leucotis,Alaudidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eremopterix_nigriceps,Alaudidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eremopterix_verticalis,Alaudidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erithacus_rubecula,Muscicapidae,0,1,NA,NA,NA,4,4,4,100,500,1000,2.18,2.18,2.18,3.27,3.27,3.27,11.00917431,11.00917431,11.00917431,0.4,0.4,0.4
Euphagus_carolinus,Icteridae,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphagus_cyanocephalus,Icteridae,1,NA,5,5,5,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euplectes_afer,Ploceidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euplectes_albonotatus,Ploceidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euplectes_ardens,Ploceidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euplectes_aureus,Ploceidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euplectes_axillaris,Ploceidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euplectes_capensis,Ploceidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euplectes_franciscanus,Ploceidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euplectes_gierowii,Ploceidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euplectes_hartlaubi,Ploceidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euplectes_hordeaceus,Ploceidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euplectes_jacksoni,Ploceidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euplectes_macroura,Ploceidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euplectes_nigroventris,Ploceidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euplectes_orix,Ploceidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
