BirdtreeFormat,Family,O.C,Final.polygyny,Final.EPP,Syllable.rep.final,Syll.song.final,Song.rep.final,Duration.final,Interval.final,Song.rate,Continuity,EPPSourcedata
Emberiza_cirlus,Emberizidae,NA,0,NA,NA,NA,NA,NA,NA,80,NA,NA
Dumetella_carolinensis,Mimidae,NA,0,NA,NA,NA,NA,NA,NA,130.4347826,NA,NA
Acanthornis_magna,Acanthizidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acridotheres_cristatellus,Sturnidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acridotheres_fuscus,Sturnidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acridotheres_ginginianus,Sturnidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acridotheres_tristis,Sturnidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_aequinoctialis,Acrocephalidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_arundinaceus,Acrocephalidae,1,1,1,15,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_arundinaceus,Acrocephalidae,1,1,1,30,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_arundinaceus,Acrocephalidae,1,1,1,NA,5,NA,NA,NA,NA,NA,NA
Acrocephalus_arundinaceus,Acrocephalidae,1,1,1,NA,NA,1000,NA,NA,NA,NA,NA
Acrocephalus_arundinaceus,Acrocephalidae,1,1,1,NA,NA,100,NA,NA,NA,NA,NA
Acrocephalus_arundinaceus,Acrocephalidae,1,1,1,NA,NA,500,NA,NA,NA,NA,NA
Acrocephalus_arundinaceus,Acrocephalidae,1,1,1,NA,NA,NA,3.2,NA,NA,NA,NA
Acrocephalus_arundinaceus,Acrocephalidae,1,1,1,NA,NA,NA,11.5,NA,NA,NA,NA
Acrocephalus_arundinaceus,Acrocephalidae,1,1,1,NA,NA,NA,NA,1.5,NA,NA,NA
Acrocephalus_arundinaceus,Acrocephalidae,1,1,1,NA,NA,NA,NA,2,NA,NA,NA
Acrocephalus_arundinaceus,Acrocephalidae,1,1,1,NA,NA,NA,NA,NA,NA,NA,4.8% EPP
Acrocephalus_arundinaceus,Acrocephalidae,1,1,1,NA,NA,NA,NA,NA,NA,NA, 3.1%/9.8% EPP
Acrocephalus_arundinaceus,Acrocephalidae,1,1,1,NA,NA,NA,NA,NA,NA,NA, 30% EPP
Acrocephalus_arundinaceus,Acrocephalidae,1,1,1,NA,NA,NA,NA,NA,NA,NA, 6.73% EPB
Acrocephalus_bistrigiceps,Acrocephalidae,NA,1,0,55,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_bistrigiceps,Acrocephalidae,NA,1,0,NA,10,NA,NA,NA,NA,NA,NA
Acrocephalus_bistrigiceps,Acrocephalidae,NA,1,0,NA,NA,300,NA,NA,NA,NA,NA
Acrocephalus_bistrigiceps,Acrocephalidae,NA,1,0,NA,NA,500,NA,NA,NA,NA,NA
Acrocephalus_bistrigiceps,Acrocephalidae,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_bistrigiceps,Acrocephalidae,NA,1,0,NA,NA,NA,NA,NA,NA,NA,6.4% EPP
Acrocephalus_dumetorum,Acrocephalidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_dumetorum,Acrocephalidae,NA,NA,NA,NA,3.48,NA,NA,NA,NA,NA,NA
Acrocephalus_dumetorum,Acrocephalidae,NA,NA,NA,NA,NA,55.3,NA,NA,NA,NA,NA
Acrocephalus_dumetorum,Acrocephalidae,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA
Acrocephalus_dumetorum,Acrocephalidae,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA
Acrocephalus_familiaris,Acrocephalidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_luscinius,Acrocephalidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_melanopogon,Acrocephalidae,NA,0,NA,70,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_melanopogon,Acrocephalidae,NA,0,NA,134,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_melanopogon,Acrocephalidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_orinus,Acrocephalidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_paludicola,Acrocephalidae,NA,NA,1,15,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_paludicola,Acrocephalidae,NA,NA,1,NA,20,NA,NA,NA,NA,NA,NA
Acrocephalus_paludicola,Acrocephalidae,NA,NA,1,NA,NA,100,NA,NA,NA,NA,NA
Acrocephalus_paludicola,Acrocephalidae,NA,NA,1,NA,NA,NA,2.18,NA,NA,NA,NA
Acrocephalus_paludicola,Acrocephalidae,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_paludicola,Acrocephalidae,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,70.97% EPB
Acrocephalus_palustris,Acrocephalidae,0,1,0,90,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_palustris,Acrocephalidae,0,1,0,411,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_palustris,Acrocephalidae,0,1,0,241,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_palustris,Acrocephalidae,0,1,0,NA,90,NA,NA,NA,NA,NA,NA
Acrocephalus_palustris,Acrocephalidae,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_palustris,Acrocephalidae,0,1,0,NA,NA,100,NA,NA,NA,NA,NA
Acrocephalus_palustris,Acrocephalidae,0,1,0,NA,NA,100,NA,NA,NA,NA,NA
Acrocephalus_palustris,Acrocephalidae,0,1,0,NA,NA,NA,5,NA,NA,NA,NA
Acrocephalus_palustris,Acrocephalidae,0,1,0,NA,NA,NA,NA,0.01,NA,NA,NA
Acrocephalus_palustris,Acrocephalidae,0,1,0,NA,NA,NA,NA,NA,NA,NA,3.1% EPP
Acrocephalus_palustris,Acrocephalidae,0,1,0,NA,NA,NA,NA,NA,NA,NA, 9.1% EPB
Acrocephalus_schoenobaenus,Acrocephalidae,1,1,0,45,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_schoenobaenus,Acrocephalidae,1,1,0,68,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_schoenobaenus,Acrocephalidae,1,1,0,55,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_schoenobaenus,Acrocephalidae,1,1,0,NA,7.7,NA,NA,NA,NA,NA,NA
Acrocephalus_schoenobaenus,Acrocephalidae,1,1,0,NA,5,NA,NA,NA,NA,NA,NA
Acrocephalus_schoenobaenus,Acrocephalidae,1,1,0,NA,NA,100,NA,NA,NA,NA,NA
Acrocephalus_schoenobaenus,Acrocephalidae,1,1,0,NA,NA,NA,19.5,NA,NA,NA,NA
Acrocephalus_schoenobaenus,Acrocephalidae,1,1,0,NA,NA,NA,NA,1.31,NA,NA,NA
Acrocephalus_schoenobaenus,Acrocephalidae,1,1,0,NA,NA,NA,NA,NA,NA,NA,7.9% EPP
Acrocephalus_schoenobaenus,Acrocephalidae,1,1,0,NA,NA,NA,NA,NA,NA,NA, 20.16% EPB
Acrocephalus_schoenobaenus,Acrocephalidae,1,1,0,NA,NA,NA,NA,NA,NA,NA, 9% EPP
Acrocephalus_scirpaceus,Acrocephalidae,NA,0,NA,80,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_scirpaceus,Acrocephalidae,NA,0,NA,NA,80,NA,NA,NA,NA,NA,NA
Acrocephalus_scirpaceus,Acrocephalidae,NA,0,NA,NA,NA,100,NA,NA,NA,NA,NA
Acrocephalus_scirpaceus,Acrocephalidae,NA,0,NA,NA,NA,1000,NA,NA,NA,NA,NA
Acrocephalus_scirpaceus,Acrocephalidae,NA,0,NA,NA,NA,NA,20,NA,NA,NA,NA
Acrocephalus_scirpaceus,Acrocephalidae,NA,0,NA,NA,NA,NA,1000,NA,NA,NA,NA
Acrocephalus_scirpaceus,Acrocephalidae,NA,0,NA,NA,NA,NA,NA,0.01,NA,NA,NA
Acrocephalus_scirpaceus,Acrocephalidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_sechellensis,Acrocephalidae,NA,0,1,32,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_sechellensis,Acrocephalidae,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_sechellensis,Acrocephalidae,NA,0,1,NA,NA,NA,NA,NA,NA,NA,38% EPP
Acrocephalus_sechellensis,Acrocephalidae,NA,0,1,NA,NA,NA,NA,NA,NA,NA, 40% EPB
Acrocephalus_sechellensis,Acrocephalidae,NA,0,1,NA,NA,NA,NA,NA,NA,NA, Qualitative
Acrocephalus_stentoreus,Acrocephalidae,1,0,NA,15,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_stentoreus,Acrocephalidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agelaioides_badius,Icteridae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agelaioides_badius,Icteridae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agelaius_assimilis,Icteridae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agelaius_humeralis,Icteridae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agelaius_phoeniceus,Icteridae,1,1,1,18.5,NA,NA,NA,NA,NA,NA,NA
Agelaius_phoeniceus,Icteridae,1,1,1,NA,3,NA,NA,NA,NA,NA,NA
Agelaius_phoeniceus,Icteridae,1,1,1,NA,NA,4,NA,NA,NA,NA,NA
Agelaius_phoeniceus,Icteridae,1,1,1,NA,NA,5,NA,NA,NA,NA,NA
Agelaius_phoeniceus,Icteridae,1,1,1,NA,NA,6,NA,NA,NA,NA,NA
Agelaius_phoeniceus,Icteridae,1,1,1,NA,NA,NA,1.25,NA,NA,NA,NA
Agelaius_phoeniceus,Icteridae,1,1,1,NA,NA,NA,NA,14,NA,NA,NA
Agelaius_phoeniceus,Icteridae,1,1,1,NA,NA,NA,NA,NA,NA,NA,28.3% EPP
Agelaius_phoeniceus,Icteridae,1,1,1,NA,NA,NA,NA,NA,NA,NA, 23-48% EPP
Agelaius_tricolor,Icteridae,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agelaius_tricolor,Icteridae,NA,1,NA,NA,NA,NA,1.25,NA,NA,NA,NA
Agelaius_xanthomus,Icteridae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agelasticus_thilius,Icteridae,NA,0,NA,17.9,NA,NA,NA,NA,NA,NA,NA
Agelasticus_thilius,Icteridae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agelasticus_thilius,Icteridae,NA,0,NA,NA,NA,6,NA,NA,NA,NA,NA
Ailuroedus_crassirostris,Ptilonorhynchidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ailuroedus_melanotis,Ptilonorhynchidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aimophila_aestivalis,Passerellidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aimophila_aestivalis,Passerellidae,NA,0,NA,NA,2,NA,NA,NA,NA,NA,NA
Aimophila_aestivalis,Passerellidae,NA,0,NA,NA,NA,20,NA,NA,NA,NA,NA
Aimophila_aestivalis,Passerellidae,NA,0,NA,NA,NA,NA,0.55,NA,NA,NA,NA
Aimophila_aestivalis,Passerellidae,NA,0,NA,NA,NA,NA,NA,10,NA,NA,NA
Aimophila_botterii,Passerellidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aimophila_botterii,Passerellidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aimophila_carpalis,Passerellidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aimophila_humeralis,Passerellidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aimophila_humeralis,Passerellidae,NA,NA,NA,NA,NA,NA,1.75,NA,NA,NA,NA
Aimophila_mystacalis,Passerellidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aimophila_quinquestriata,Passerellidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aimophila_quinquestriata,Passerellidae,NA,0,NA,NA,NA,75,NA,NA,NA,NA,NA
Alauda_arvensis,Alaudidae,NA,0,NA,341,NA,NA,NA,NA,NA,NA,NA
Alauda_arvensis,Alaudidae,NA,0,NA,NA,15,NA,NA,NA,NA,NA,NA
Alauda_arvensis,Alaudidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alauda_razae,Alaudidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alophoixus_finschii,Pycnonotidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amblyospiza_albifrons,Ploceidae,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amblyramphus_holosericeus,Icteridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ammodramus_bairdii,Passerellidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ammodramus_bairdii,Passerellidae,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA
Ammodramus_caudacutus,Passerellidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ammodramus_caudacutus,Passerellidae,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Ammodramus_henslowii,Passerellidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ammodramus_leconteii,Passerellidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ammodramus_maritimus,Passerellidae,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Ammodramus_maritimus,Passerellidae,NA,0,1,NA,3,NA,NA,NA,NA,NA,NA
Ammodramus_maritimus,Passerellidae,NA,0,1,NA,NA,4,NA,NA,NA,NA,NA
Ammodramus_maritimus,Passerellidae,NA,0,1,NA,NA,NA,1,NA,NA,NA,NA
Ammodramus_maritimus,Passerellidae,NA,0,1,NA,NA,NA,NA,4.4,NA,NA,NA
Ammodramus_maritimus,Passerellidae,NA,0,1,NA,NA,NA,NA,NA,NA,NA,17% EPB
Ammodramus_savannarum,Passerellidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ammomanes_deserti,Alaudidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amphispiza_belli,Passerellidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amphispiza_belli,Passerellidae,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA
Amphispiza_bilineata,Passerellidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amphispiza_bilineata,Passerellidae,NA,0,NA,NA,NA,9,NA,NA,NA,NA,NA
Amphispiza_bilineata,Passerellidae,NA,0,NA,NA,NA,NA,1.02,NA,NA,NA,NA
Amphispiza_bilineata,Passerellidae,NA,0,NA,NA,NA,NA,NA,0.98,NA,NA,NA
Anaplectes_rubriceps,Ploceidae,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andropadus_gracilis,Pycnonotidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andropadus_importunus,Pycnonotidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andropadus_milanjensis,Pycnonotidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andropadus_nigriceps,Pycnonotidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andropadus_nigriceps,Pycnonotidae,NA,0,NA,NA,NA,NA,NA,10,NA,NA,NA
Anthoscopus_caroli,Remizidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthoscopus_caroli,Remizidae,NA,0,NA,NA,NA,NA,2.5,NA,NA,NA,NA
Anthoscopus_minutus,Remizidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthus_campestris,Motacillidae,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA
Anthus_campestris,Motacillidae,NA,0,NA,NA,3,NA,NA,NA,NA,NA,NA
Anthus_campestris,Motacillidae,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA
Anthus_campestris,Motacillidae,NA,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA
Anthus_campestris,Motacillidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthus_chloris,Motacillidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthus_crenatus,Motacillidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthus_hoeschi,Motacillidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthus_leucophrys,Motacillidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthus_lineiventris,Motacillidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthus_lutescens,Motacillidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthus_melindae,Motacillidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthus_novaeseelandiae,Motacillidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthus_petrosus,Motacillidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthus_petrosus,Motacillidae,NA,0,NA,NA,NA,NA,18,NA,NA,NA,NA
Anthus_pratensis,Motacillidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthus_pratensis,Motacillidae,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA
Anthus_similis,Motacillidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthus_spinoletta,Motacillidae,NA,0,0,5.1,NA,NA,NA,NA,NA,NA,NA
Anthus_spinoletta,Motacillidae,NA,0,0,NA,3.2,NA,NA,NA,NA,NA,NA
Anthus_spinoletta,Motacillidae,NA,0,0,NA,7,NA,NA,NA,NA,NA,NA
Anthus_spinoletta,Motacillidae,NA,0,0,NA,NA,1,NA,NA,NA,NA,NA
Anthus_spinoletta,Motacillidae,NA,0,0,NA,NA,NA,10.64,NA,NA,NA,NA
Anthus_spinoletta,Motacillidae,NA,0,0,NA,NA,NA,10.5,NA,NA,NA,NA
Anthus_spinoletta,Motacillidae,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Anthus_spinoletta,Motacillidae,NA,0,0,NA,NA,NA,NA,NA,NA,NA,5.2% EPP
Anthus_spinoletta,Motacillidae,NA,0,0,NA,NA,NA,NA,NA,NA,NA, 12% EPP
Anthus_spinoletta,Motacillidae,NA,0,0,NA,NA,NA,NA,NA,NA,NA, 12.4% EPB
Anthus_trivialis,Motacillidae,0,0,NA,11,NA,NA,NA,NA,NA,NA,NA
Anthus_trivialis,Motacillidae,0,0,NA,NA,6,NA,NA,NA,NA,NA,NA
Anthus_trivialis,Motacillidae,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthus_trivialis,Motacillidae,0,0,NA,NA,NA,NA,8,NA,NA,NA,NA
Anthus_vaalensis,Motacillidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apalis_thoracica,Cisticolidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apalis_thoracica,Cisticolidae,NA,0,NA,NA,NA,NA,15,NA,NA,NA,NA
Aphelocoma_californica,Corvidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphelocoma_coerulescens,Corvidae,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aphelocoma_coerulescens,Corvidae,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0% EPP
Aphelocoma_insularis,Corvidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphelocoma_insularis,Corvidae,NA,0,NA,NA,NA,NA,10,NA,NA,NA,NA
Aphelocoma_ultramarina,Corvidae,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
Aphelocoma_ultramarina,Corvidae,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1.4% EPP
Aphelocoma_ultramarina,Corvidae,NA,NA,0,NA,NA,NA,NA,NA,NA,NA, 62.75% EPB
Aphelocoma_ultramarina,Corvidae,NA,NA,0,NA,NA,NA,NA,NA,NA,NA, Qualitative
Aplonis_dichroa,Sturnidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aplonis_opaca,Sturnidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arremonops_rufivirgatus,Passerellidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arremonops_rufivirgatus,Passerellidae,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Arses_telescophthalmus,Monarchidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Auriparus_flaviceps,Remizidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Automolus_ochrolaemus,Furnariidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Automolus_ochrolaemus,Furnariidae,NA,0,NA,NA,NA,NA,3,NA,NA,NA,NA
Automolus_rubiginosus,Furnariidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baeolophus_atricristatus,Paridae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baeolophus_atricristatus,Paridae,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA
Baeolophus_atricristatus,Paridae,NA,0,NA,NA,NA,9,NA,NA,NA,NA,NA
Baeolophus_atricristatus,Paridae,NA,0,NA,NA,NA,NA,1.27,NA,NA,NA,NA
Baeolophus_atricristatus,Paridae,NA,0,NA,NA,NA,NA,NA,3.75,NA,NA,NA
Baeolophus_bicolor,Paridae,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Baeolophus_bicolor,Paridae,NA,0,1,NA,1.5,NA,NA,NA,NA,NA,NA
Baeolophus_bicolor,Paridae,NA,0,1,NA,NA,12,NA,NA,NA,NA,NA
Baeolophus_bicolor,Paridae,NA,0,1,NA,NA,13.7,NA,NA,NA,NA,NA
Baeolophus_bicolor,Paridae,NA,0,1,NA,NA,NA,1.4,NA,NA,NA,NA
Baeolophus_bicolor,Paridae,NA,0,1,NA,NA,NA,NA,1,NA,NA,NA
Baeolophus_bicolor,Paridae,NA,0,1,NA,NA,NA,NA,NA,NA,NA,22.9% EPB
Baeolophus_inornatus,Paridae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baeolophus_inornatus,Paridae,NA,0,NA,NA,1.5,NA,NA,NA,NA,NA,NA
Baeolophus_inornatus,Paridae,NA,0,NA,NA,NA,11,NA,NA,NA,NA,NA
Baeolophus_inornatus,Paridae,NA,0,NA,NA,NA,NA,2.5,NA,NA,NA,NA
Baeolophus_inornatus,Paridae,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA
Baeolophus_wollweberi,Paridae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baeolophus_wollweberi,Paridae,NA,0,NA,NA,NA,2,NA,NA,NA,NA,NA
Batis_occulta,Platysteiridae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleda_notatus,Pycnonotidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleda_syndactylus,Pycnonotidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bombycilla_cedrorum,Bombycillidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bombycilla_garrulus,Bombycillidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradornis_infuscatus,Muscicapidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradornis_infuscatus,Muscicapidae,NA,0,NA,NA,NA,NA,3.5,NA,NA,NA,NA
Bradornis_mariquensis,Muscicapidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradornis_mariquensis,Muscicapidae,NA,0,NA,NA,2,NA,NA,NA,NA,NA,NA
Bradornis_microrhynchus,Muscicapidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradornis_pallidus,Muscicapidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradypterus_baboecala,Locustellidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradypterus_baboecala,Locustellidae,NA,0,NA,NA,NA,NA,10,NA,NA,NA,NA
Bradypterus_barratti,Locustellidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradypterus_cinnamomeus,Locustellidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradypterus_cinnamomeus,Locustellidae,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA
Bradypterus_graueri,Locustellidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradypterus_graueri,Locustellidae,NA,0,NA,NA,NA,NA,1.5,NA,NA,NA,NA
Bradypterus_lopezi,Locustellidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradypterus_sylvaticus,Locustellidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradypterus_sylvaticus,Locustellidae,NA,0,NA,NA,NA,NA,6,NA,NA,NA,NA
Bradypterus_victorini,Macrosphenidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bubalornis_albirostris,Ploceidae,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bucanetes_githagineus,Fringillidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buphagus_africanus,Buphagidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buphagus_erythrorhynchus,Buphagidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cacicus_cela,Icteridae,0,1,NA,26,NA,NA,NA,NA,NA,NA,NA
Cacicus_cela,Icteridae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cacicus_cela,Icteridae,0,1,NA,NA,NA,6.5,NA,NA,NA,NA,NA
Cacicus_cela,Icteridae,0,1,NA,NA,NA,500,NA,NA,NA,NA,NA
Cacicus_chrysopterus,Icteridae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cacicus_haemorrhous,Icteridae,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cacicus_solitarius,Icteridae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cacicus_uropygialis,Icteridae,NA,0,NA,11.3,NA,NA,NA,NA,NA,NA,NA
Cacicus_uropygialis,Icteridae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cacicus_uropygialis,Icteridae,NA,0,NA,NA,NA,12,NA,NA,NA,NA,NA
Calamospiza_melanocorys,Passerellidae,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calandrella_cinerea,Alaudidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calandrella_somalica,Alaudidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calcarius_lapponicus,Calcariidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calcarius_lapponicus,Calcariidae,NA,0,NA,NA,16,NA,NA,NA,NA,NA,NA
Calcarius_lapponicus,Calcariidae,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA
Calcarius_lapponicus,Calcariidae,NA,0,NA,NA,NA,NA,2.25,NA,NA,NA,NA
Calcarius_mccownii,Calcariidae,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calcarius_ornatus,Calcariidae,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA
